"Gattung","Nummer","Gewicht","Fangdatum","Magenumf","ln_gewicht","log10_gewicht"
"N",45,1.015,"23.09.97",4.25,0.0148886124937506,0.00646604224923168
"N",20,1.045,"15.09.97",4.25,0.0440168854167743,0.0191162904470728
"N",7,1.075,"15.09.97",4.25,0.0723206615796261,0.0314084642516241
"N",11,1.115,"15.09.97",2.6,0.108854404912082,0.0472748673841795
"N",22,1.155,"15.09.97",4.3,0.144100343973757,0.0625819842281631
"N",14,1.185,"15.09.97",4.1,0.169742774587095,0.0737183503461227
"N",26,1.265,"23.09.97",4.3,0.235072122179483,0.102090525511837
"N",57,1.31,"12.10.97",3.1,0.27002713721306,0.117271295655764
"N",41,1.31,"23.09.97",4.5,0.27002713721306,0.117271295655764
"N",46,1.33,"23.09.97",4.8,0.285178942233662,0.123851640967086
"N",63,1.335,"12.10.97",3.65,0.288931291852213,0.125481265700594
"N",60,1.455,"12.10.97",4.6,0.375005900623456,0.162862993321926
"N",61,1.47,"12.10.97",3.05,0.385262400790645,0.167317334748176
"N",56,1.625,"12.10.97",3.45,0.485507815781701,0.210853365314893
"N",59,1.765,"12.10.97",4,0.56815069038526,0.246744709723841
