FNETID,pres,Year,datatype,BCAlbX,BCAlbY,BEC,Elevation,Aspect,Slope,CTI,Rugg9,Tave_sm,MSP,PAS
672371,0,1997,NA,978876.612,564241.027,MH,1312,-0.043836884,15.12501812,11.51763248,0.047578789,11.1,733,1643
674130,0,1995,NA,946776.612,564141.027,MH,902,0.475662977,25.03202629,12.08930302,0.056135956,12,614,1071
676783,0,1997,NA,1004076.612,564041.027,MH,1117,-0.998700738,22.6259861,11.18411827,0.016005998,12.1,659,1233
680688,0,1998,NA,978576.612,563841.027,MH,1161,0.455551922,37.84912491,11.25434208,0.036182828,12.1,315,738
683045,0,2002,NA,1006276.612,563741.027,MH,1156,0.465625226,14.42430496,10.54406929,0.009334612,11.8,372,885
687153,0,2003,NA,1001076.612,563541.027,MH,1377,0,2.02486825,11.24531651,0.020120975,11,454,819
699628,0,1999,NA,1000576.612,562941.027,MH,1261,0.355463207,13.52391529,10.24476147,0.027379448,10.8,439,1342
699633,0,1996,NA,1001076.612,562941.027,MH,1344,-0.950094461,6.002520084,12.16638756,0.038535506,10.8,408,1050
701483,0,2002,NA,978076.612,562841.027,MH,722,-0.056307163,12.01703453,13.492939,0.14254798,13.5,399,612
705899,0,2003,NA,1003676.612,562641.027,MH,921,0.998823404,10.56182671,17.20141411,0.065201089,12.9,403,436
710046,0,2003,NA,1002376.612,562441.027,MH,1049,0,2.499981642,14.42108822,0.01477484,12.2,438,587
717923,0,1997,NA,958076.612,562041.027,AT,1359,-0.306661367,11.87609863,11.27714062,0.064781375,11.4,1280,2407
726626,0,2003,NA,996376.612,561641.027,MH,913,0,3.843078613,11.01157379,0.068846524,13,336,374
730819,0,2004,NA,999676.612,561441.027,MH,886,0.673247993,28.51752853,11.42977333,0.021508958,14,575,433
734599,0,2004,NA,961676.612,561241.027,MH,1250,-0.711556077,16.6339283,10.41845989,0.107732229,12.4,900,1086
740830,0,2002,NA,960776.612,560941.027,MH,1190,0.872888863,18.0995121,10.328619,0.116272353,11.7,635,1485
742795,0,1998,NA,949276.612,560841.027,CWH,771,0.083155997,24.89213753,13.02269268,0.047962047,13.6,572,617
745301,0,2004,NA,991876.612,560741.027,MH,1082,-0.992563546,29.64064598,12.71699047,0.042126689,13.1,502,547
751575,0,1999,NA,995276.612,560441.027,MH,879,-0.343878478,38.45431137,9.440838814,0.054528695,12.4,322,826
755378,0,1995,NA,959576.612,560241.027,AT,1485,0.162484556,13.59722519,11.32282257,0.041041151,10.2,683,2035
755688,0,1996,NA,990576.612,560241.027,MH,1038,-0.035302378,27.94046021,10.53765202,0.04552469,11.9,305,682
759538,0,1995,NA,959576.612,560041.027,AT,1479,-0.126904488,6.615275383,11.36472607,0.046086535,10.2,682,2029
759803,0,2004,NA,986076.612,560041.027,MH,902,-0.976477265,23.76721191,10.43183136,0.082082957,13.8,496,404
770189,0,2004,NA,984676.612,559541.027,MH,1280,-0.257240176,16.29291534,10.44036007,0.062064841,12.1,638,851
770254,0,1997,NA,991176.612,559541.027,MH,1199,0.651730657,18.8913517,10.28267479,0.017678438,11.8,627,1317
774431,1,2008,PUB,992838.283,559350.687,AT,1828,0.347994626,23.43636322,10.83480358,0.096498556,7.3,386,1493
776415,0,1998,NA,983276.612,559241.027,AT,1418,-0.03083618,48.44532776,9.915448189,0.136139289,11.4,338,1023
780536,0,1996,NA,979376.612,559041.027,AT,1310,-0.809126675,27.99333382,10.53542328,0.041873038,10.7,431,1254
782748,1,2006,PUB,992622.812,558924.59,AT,1733,0.805311084,25.02195168,10.66539478,0.113882653,9.1,231,1229
784920,0,1996,NA,1001776.612,558841.027,MH,1018,-0.956556916,19.55068398,12.5482378,0.017875483,12.1,330,703
790665,0,1998,NA,952276.612,558541.027,MH,1199,-0.940297782,13.81755257,12.32870102,0.059154935,12.2,577,1146
791170,0,1998,NA,1002776.612,558541.027,MH,980,-0.91799736,22.8871479,11.76053143,0.017303655,13.4,282,521
792745,0,1998,NA,952276.612,558441.027,MH,1181,0.913554251,5.941570282,11.11692238,0.053490344,12.2,575,1107
799262,0,1996,NA,979976.612,558141.027,MH,1103,0.999336421,19.87550926,11.61409378,0.069078326,11.6,429,988
801592,0,1997,NA,1004976.612,558041.027,MH,1047,-0.707388282,11.78273964,10.6000185,0.047146928,12.5,608,1061
803147,1,1997,FS,952434.35,557919.97,MH,1250,-0.967712104,23.08745956,11.21854782,0.050867435,11.8,1432,2292
805275,0,1997,NA,957276.612,557841.027,MH,1131,0.821989119,15.65173054,11.35235977,0.062284023,12.3,1367,2095
805617,0,1997,NA,991476.612,557841.027,MH,1080,-0.020274419,31.2328701,12.93428326,0.021932719,12.4,645,1229
820257,0,1997,NA,999476.612,557141.027,MH,962,-0.940594614,41.22343063,11.42198944,0.031328365,13,540,968
820292,0,1997,NA,1002976.612,557141.027,MH,1293,0.256676793,15.11729908,10.28951263,0.051107619,11.3,625,1399
821855,1,1996,PUB,951256.212,556998.146,AT,1499,0,3.423207283,11.04383564,0.041930586,9.9,911,2606
826016,1,1998,PUB,951418.593,556812.327,AT,1507,0,1.316480875,12.98342705,0.02056687,10.7,687,1868
832274,0,1998,NA,953176.612,556541.027,MH,885,-0.662888229,21.63555908,12.4545269,0.069579326,13.4,555,629
836745,0,1997,NA,984276.612,556341.027,MH,1140,0.046338394,30.2485466,11.60831642,0.066402957,12.1,735,1368
845355,0,1998,NA,1013276.612,555941.027,MH,1030,-0.9922297,12.77165985,13.99041557,0.005689173,13.5,271,515
848909,0,2003,NA,952676.612,555741.027,MH,1278,0.991401732,48.51140594,9.780604362,0.078995973,11.3,920,1301
851427,0,2004,NA,996476.612,555641.027,MH,1122,-0.974909902,30.75020027,10.42277527,0.05503704,12.9,491,587
855495,0,2007,NA,987276.612,555441.027,MH,1261,0.081139147,30.09015465,11.14230728,0.102775194,11.3,389,1501
878082,0,1999,NA,957976.612,554341.027,MH,1200,-0.689282417,7.9526577,10.82365799,0.077963464,11,865,2187
890839,0,2002,NA,985676.612,553741.027,MH,1036,-0.921177149,27.76883888,12.36447334,0.052546185,12.4,425,969
891095,0,1997,NA,1011276.612,553741.027,MH,1301,0.56178093,10.20060062,11.61862087,0.04728793,11.6,659,1329
900984,0,1998,NA,960176.612,553241.027,MH,1076,-0.563006818,25.32585716,9.958469391,0.062762976,12.7,595,955
905264,0,1997,NA,972176.612,553041.027,MH,1010,-0.702292681,23.84280586,11.12551975,0.095722057,12.7,791,1185
905708,0,1998,NA,1016576.612,553041.027,MH,955,-0.569440186,36.62913513,11.11622238,0.072868727,13.9,251,447
917863,0,2005,NA,984076.612,552441.027,MH,900,0.961420238,18.01462173,16.05532265,0.03731386,12.8,593,600
928477,0,1997,NA,1005476.612,551941.027,MH,883,-0.980142534,22.88660812,10.84944725,0.020990536,13.6,544,930
932329,0,1997,NA,974676.612,551741.027,CWH,976,-0.095512472,21.58633423,11.13186359,0.046594881,12.8,905,1278
934609,0,2004,NA,994676.612,551641.027,MH,1066,0.486540139,25.01864433,9.972397804,0.013786222,13.2,532,563
934748,0,1995,NA,1008576.612,551641.027,MH,1292,0.213981971,8.725692749,11.08452034,0.067326017,11.4,385,1024
939017,0,2003,NA,1019476.612,551441.027,MH,1318,0,3.563469648,10.55775833,0.044370297,11.5,393,683
942627,0,2002,NA,964476.612,551241.027,MH,1006,-0.982141078,16.9858532,11.98940563,0.046777137,12.6,697,1273
949436,0,2005,NA,1021376.612,550941.027,MH,1019,0.816743612,15.06251335,12.13237762,0.009933943,12.5,499,618
955325,0,1998,NA,986276.612,550641.027,AT,1392,0.698167145,20.01155281,10.86875629,0.074787848,11.6,322,877
965615,0,1996,NA,975276.612,550141.027,CWH,963,0.024979834,35.71363068,12.10527325,0.018290296,12.3,535,900
967621,0,1998,NA,967876.612,550041.027,MH,1166,0.754986763,38.38676071,10.1312952,0.08813373,12.4,449,922
970081,0,1994,NA,1005876.612,549941.027,MH,1121,0.452665299,15.79434109,10.30439377,0.018919015,12.5,348,783
971781,0,1991,NA,967876.612,549841.027,MH,1039,0.709808469,35.12945938,10.94820499,0.04890734,11.8,650,1293
974055,0,1990,NA,987276.612,549741.027,MH,1010,0.825336814,32.92909622,11.03103733,0.084167011,13,372,705
975916,0,1993,NA,965376.612,549641.027,MH,1011,0.619812131,31.47534752,10.73685265,0.067755617,12.2,874,1053
976338,0,1995,NA,1007576.612,549641.027,MH,1082,0.273336798,34.36089706,12.78662586,0.021057034,12.3,344,823
984359,0,2005,NA,977676.612,549241.027,MH,935,-0.233289525,24.0361824,14.32187176,0.037388742,12.6,673,671
990451,0,1997,NA,962876.612,548941.027,MH,1216,0.946257412,30.63241959,9.429674149,0.1439825,12,1412,2123
990459,0,1998,NA,963676.612,548941.027,MH,1227,0.991658866,30.90583801,11.10974979,0.054718301,12.2,588,1103
990853,1,2013,PUB,1003032.701,548933.5811,AT,1614,-0.588129818,11.72334862,10.1014061,0.121704571,9.8,391,1151
992679,0,2008,NA,977676.612,548841.027,MH,1039,-0.786765993,35.92996597,10.63097954,0.042620435,11.1,475,927
993045,0,1997,NA,1014276.612,548841.027,MH,1210,0.234978765,7.54706192,11.23159981,0.044391304,12.1,684,1371
998801,0,1996,NA,965876.612,548541.027,AT,1437,-0.029615549,27.48418617,10.04611111,0.091063321,10.3,747,2024
999090,0,2006,NA,994776.612,548541.027,MH,1048,-0.060486961,23.72714806,11.46271801,0.048515789,12.5,222,667
1003296,0,1998,NA,999376.612,548341.027,MH,956,-0.998099923,40.41837311,10.06409931,0.047529526,13.7,239,453
1007196,0,2004,NA,973376.612,548141.027,MH,987,0.681187272,18.03029823,12.12217236,0.019437531,13.4,855,706
1007450,0,1997,NA,998776.612,548141.027,MH,948,-0.24202916,14.23845005,10.5817318,0.054516166,13.1,599,1019
1009587,0,2005,NA,1004476.612,548041.027,MH,1361,-0.292295486,53.47013474,8.91026783,0.090046726,11,481,958
1013686,0,1999,NA,998376.612,547841.027,MH,1015,-0.305101484,17.75532532,12.06482601,0.041955549,12,348,1003
1015755,0,2004,NA,997276.612,547741.027,MH,900,0.306689769,32.79621506,11.61191082,0.02538535,14.1,563,472
1015945,0,1997,NA,1016276.612,547741.027,MH,1445,-0.873705685,13.64851475,11.85448742,0.104716733,11,667,1456
1022082,0,2006,NA,1005976.612,547441.027,AT,1495,-0.875250697,6.922455311,13.39835358,0.104470052,10.5,208,914
1026320,0,2005,NA,1013776.612,547241.027,AT,1604,0.999961853,47.43453217,9.818400383,0.118110657,10,530,1233
1028277,0,1998,NA,1001476.612,547141.027,MH,937,-0.355980903,15.77586651,16.55507088,0.015621797,13.8,243,463
1030284,0,2002,NA,994176.612,547041.027,MH,1205,-0.537976682,13.53024769,10.30038261,0.101695217,11.8,367,1009
1032303,0,1998,NA,988076.612,546941.027,MH,882,-0.968182504,26.35312271,12.17858887,0.049302183,13.9,308,482
1036245,0,1996,NA,966276.612,546741.027,MH,1220,-0.817875326,49.90594101,10.83000278,0.081267461,11.2,720,1606
